<http://www.wikidata.org/entity/Q59419548> <http://www.wikidata.org/prop/direct/P625> "Point(11.7278691071 48.3889484398)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59419550> <http://www.wikidata.org/prop/direct/P625> "Point(10.921213055556 48.244815)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59419585> <http://www.wikidata.org/prop/direct/P625> "Point(12.3332397786 47.714907134)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59419870> <http://www.wikidata.org/prop/direct/P625> "Point(12.780528888889 47.647438888889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59419875> <http://www.wikidata.org/prop/direct/P625> "Point(12.83913 47.664173055556)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59419877> <http://www.wikidata.org/prop/direct/P625> "Point(10.050081111111 48.29437)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59419879> <http://www.wikidata.org/prop/direct/P625> "Point(10.7570622285 49.4397240084)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59419881> <http://www.wikidata.org/prop/direct/P625> "Point(12.3298761579 48.1731883399)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59420030> <http://www.wikidata.org/prop/direct/P625> "Point(136.823369 35.123628)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59420115> <http://www.wikidata.org/prop/direct/P625> "Point(118.06812903957 -30.441338543711)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59420116> <http://www.wikidata.org/prop/direct/P625> "Point(11.490713055556 48.753636944444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59420178> <http://www.wikidata.org/prop/direct/P625> "Point(136.8896 35.142094)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59420246> <http://www.wikidata.org/prop/direct/P625> "Point(9.19371750938 49.9602699099)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59420311> <http://www.wikidata.org/prop/direct/P625> "Point(-5.635122 43.524042)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59421018> <http://www.wikidata.org/prop/direct/P625> "Point(-0.8381 51.33065)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59421788> <http://www.wikidata.org/prop/direct/P625> "Point(7.168494 50.759967)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59422644> <http://www.wikidata.org/prop/direct/P625> "Point(12.085185 51.964087)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59429024> <http://www.wikidata.org/prop/direct/P625> "Point(-0.37108333333333 39.461805555556)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59430242> <http://www.wikidata.org/prop/direct/P625> "Point(-0.3775 48.986944)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59430336> <http://www.wikidata.org/prop/direct/P625> "Point(13.351111111111 55.749166666667)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59430375> <http://www.wikidata.org/prop/direct/P625> "Point(13.005555555556 56.118333333333)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59430411> <http://www.wikidata.org/prop/direct/P625> "Point(13.073555555556 57.530666666667)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59430416> <http://www.wikidata.org/prop/direct/P625> "Point(12.386666666667 58.355)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59430429> <http://www.wikidata.org/prop/direct/P625> "Point(18.295419444444 57.636866666667)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59430435> <http://www.wikidata.org/prop/direct/P625> "Point(18.293841666667 57.642994444444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59430443> <http://www.wikidata.org/prop/direct/P625> "Point(13.303583333333 58.214138888889)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59430474> <http://www.wikidata.org/prop/direct/P625> "Point(13.327027777778 55.894333333333)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59432157> <http://www.wikidata.org/prop/direct/P625> "Point(5.6467222222222 49.26925)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59432944> <http://www.wikidata.org/prop/direct/P625> "Point(-2.067778 47.823333)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59451874> <http://www.wikidata.org/prop/direct/P625> "Point(4.851239 45.770543)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59452622> <http://www.wikidata.org/prop/direct/P625> "Point(139.747778 35.667444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59452794> <http://www.wikidata.org/prop/direct/P625> "Point(4.850299 45.765527)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59453984> <http://www.wikidata.org/prop/direct/P625> "Point(37.609669 54.167072)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59454878> <http://www.wikidata.org/prop/direct/P625> "Point(10.026666666667 51.870555555556)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59457755> <http://www.wikidata.org/prop/direct/P625> "Point(-61.29 -30.43)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59458032> <http://www.wikidata.org/prop/direct/P625> "Point(3.18212 49.71806)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59459775> <http://www.wikidata.org/prop/direct/P625> "Point(20.955727 52.20213)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59460901> <http://www.wikidata.org/prop/direct/P625> "Point(7.69504 51.37664)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59466974> <http://www.wikidata.org/prop/direct/P625> "Point(6.7396111111111 50.572194444444)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59468044> <http://www.wikidata.org/prop/direct/P625> "Point(10.046988888889 53.584361111111)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59469373> <http://www.wikidata.org/prop/direct/P625> "Point(133.88 -23.77)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59469899> <http://www.wikidata.org/prop/direct/P625> "Point(211.21 70.36)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59470084> <http://www.wikidata.org/prop/direct/P625> "Point(11.28 48.17)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59470141> <http://www.wikidata.org/prop/direct/P625> "Point(144.87 13.59)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59470193> <http://www.wikidata.org/prop/direct/P625> "Point(18.82 54.61)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59470208> <http://www.wikidata.org/prop/direct/P625> "Point(19.23 -34.43)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
<http://www.wikidata.org/entity/Q59470431> <http://www.wikidata.org/prop/direct/P625> "Point(29.72 40.5)"^^<http://www.opengis.net/ont/geosparql#wktLiteral> .
